run_id,backend,resolution,sign,magnitude,delta,residual_infinity_norm,residual_l2_norm,floor,floor_separation,fit_eligible
C1V-G1.1-20260803-001,independent,100,1,0.02,0.02,0.00011439794405520873,0.00018711497624893686,5.976472921013429e-10,191413.80805555513,true
C1V-G1.1-20260803-001,independent,100,1,0.01,0.01,2.8594831950415806e-05,4.692235546961628e-05,5.976472921013429e-10,47845.66470614409,true
C1V-G1.1-20260803-001,independent,100,1,0.005,0.005,7.14836807528454e-06,1.1748965227046914e-05,5.976472921013429e-10,11960.84742582987,true
C1V-G1.1-20260803-001,independent,100,1,0.0025,0.0025,1.7872484271895827e-06,2.9398111452055498e-06,5.976472921013429e-10,2990.4735632710263,true
C1V-G1.1-20260803-001,independent,100,1,0.00125,0.00125,4.4702791535992215e-07,7.355374388389569e-07,5.976472921013429e-10,747.9794876810381,true
C1V-G1.1-20260803-001,reference,400,-1,0.08,-0.08,0.0019177206250587941,0.003090676966333053,6.22606480260101e-12,308014883.5356876,true
C1V-G1.1-20260803-001,reference,400,-1,0.04,-0.04,0.0004681963579988846,0.0007626381295476909,6.22606480260101e-12,75199403.28974575,true
C1V-G1.1-20260803-001,reference,400,-1,0.02,-0.02,0.00011569026449087527,0.00018944950225922895,6.22606480260101e-12,18581603.01231435,true
C1V-G1.1-20260803-001,reference,400,-1,0.01,-0.01,2.8755460428131485e-05,4.721380823452545e-05,6.22606480260101e-12,4618561.0557921855,true
C1V-G1.1-20260803-001,reference,400,-1,0.005,-0.005,7.168147745151288e-06,1.1785049900388161e-05,6.22606480260101e-12,1151312.7428671657,true
C1V-G1.1-20260803-001,reference,400,-1,0.0025,-0.0025,1.7894597745815588e-06,2.9439752642485294e-06,6.22606480260101e-12,287414.25464026514,true
C1V-G1.1-20260803-001,reference,400,-1,0.00125,-0.00125,4.470454947336222e-07,7.357112949842189e-07,6.22606480260101e-12,71802.25534222898,true
C1V-G1.1-20260803-001,reference,400,1,0.08,0.08,0.0018329017566346554,0.002941088630480365,6.22606480260101e-12,294391692.78625876,true
C1V-G1.1-20260803-001,reference,400,1,0.04,0.04,0.0004577703850562905,0.0007439548935060611,6.22606480260101e-12,73524834.63793239,true
C1V-G1.1-20260803-001,reference,400,1,0.02,0.02,0.00011439764621795623,0.00018711457530701698,6.22606480260101e-12,18373989.00348183,true
C1V-G1.1-20260803-001,reference,400,1,0.01,0.01,2.8594535341244534e-05,4.692195727621503e-05,6.22606480260101e-12,4592714.057408917,true
C1V-G1.1-20260803-001,reference,400,1,0.005,0.005,7.148072493586004e-06,1.1748568993404197e-05,6.22606480260101e-12,1148088.3543967956,true
C1V-G1.1-20260803-001,reference,400,1,0.0025,0.0025,1.7869528770781338e-06,2.939415163090608e-06,6.22606480260101e-12,287011.6090554685,true
C1V-G1.1-20260803-001,reference,400,1,0.00125,0.00125,4.467322869047255e-07,7.351412811867531e-07,6.22606480260101e-12,71751.94943652015,true
C1V-G1.1-20260803-001,reference,800,-1,0.08,-0.08,0.0019177206219981313,0.0030906769624034283,3.8990772416312213e-13,4918396079.775614,true
C1V-G1.1-20260803-001,reference,800,-1,0.04,-0.04,0.00046819635500938706,0.0007626381256245533,3.8990772416312213e-13,1200787586.381623,true
C1V-G1.1-20260803-001,reference,800,-1,0.02,-0.02,0.00011569026153512851,0.0001894494983406091,3.8990772416312213e-13,296711899.67687905,true
C1V-G1.1-20260803-001,reference,800,-1,0.01,-0.01,2.875545749136954e-05,4.721380432169729e-05,3.8990772416312213e-13,73749391.73900382,true
C1V-G1.1-20260803-001,reference,800,-1,0.005,-0.005,7.168144817271127e-06,1.1785045990050838e-05,3.8990772416312213e-13,18384208.29609484,true
C1V-G1.1-20260803-001,reference,800,-1,0.0025,-0.0025,1.7894568529186472e-06,2.9439713572156214e-06,3.8990772416312213e-13,4589436.787279465,true
C1V-G1.1-20260803-001,reference,800,-1,0.00125,-0.00125,4.470425737368444e-07,7.357073869007686e-07,3.8990772416312213e-13,1146534.2849935933,true
C1V-G1.1-20260803-001,reference,800,1,0.08,0.08,0.00183290175372972,0.002941088626634075,3.8990772416312213e-13,4700860332.181841,true
C1V-G1.1-20260803-001,reference,800,1,0.04,0.04,0.0004577703821437355,0.0007439548896257923,3.8990772416312213e-13,1174047995.9104948,true
C1V-G1.1-20260803-001,reference,800,1,0.02,0.02,0.00011439764330383424,0.00018711457141421488,3.8990772416312213e-13,293396709.5660171,true
C1V-G1.1-20260803-001,reference,800,1,0.01,0.01,2.859453242465777e-05,4.6921953375592075e-05,3.8990772416312213e-13,73336665.70989738,true
C1V-G1.1-20260803-001,reference,800,1,0.005,0.005,7.1480695739913325e-06,1.1748565087316914e-05,3.8990772416312213e-13,18332721.131220423,true
C1V-G1.1-20260803-001,reference,800,1,0.0025,0.0025,1.7869499582225856e-06,2.93941125665022e-06,3.8990772416312213e-13,4583007.330921702,true
C1V-G1.1-20260803-001,reference,800,1,0.00125,0.00125,4.4672936631009353e-07,7.351373722743563e-07,3.8990772416312213e-13,1145730.9989663078,true
